question,gold_label,gold_label_con_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_con_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
"When a human is earning money, where are they often found?",place of work,"The choice ""place of work"" is implausible because in the current gig economy, humans can earn money from virtually anywhere, including from home, a cafe, or while traveling, rendering the traditional notion of a fixed workplace obsolete.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]",[{'feedback': 'Place of work can be anywhere including the cafe where they work or their home offfice so it’s still plausible'}],school,"Schools are primarily places for learning and educating, not earning money, so it's implausible for someone to be commonly found there for the purpose of earning a living.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': ""If they are a teacher then it's possible.""}]","{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","{'mean': 2.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
What was the man encouraged to do after he expressed his anger violently?,cool off,"Cooling off is an implausible action immediately after expressing anger violently, as the adrenaline and heightened emotional state would require more structured intervention or calming techniques rather than a casual suggestion to ""cool off.""","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","[{'feedback': 'nice'}, {'feedback': ' The explanation makes a valid point, but I believe the answer “cool off” can still be applicable in many situations as a first step.'}]",fight,"It is implausible that the man was encouraged to fight after expressing his anger violently, as typically, society and authority figures promote conflict resolution and non-violent behaviors rather than escalating aggression through fighting.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 3, 'variance': 1, 'std_dev': 1.0, 'median': 3}","{'mean': 1.8, 'variance': 1.7000000000000002, 'std_dev': 1.3038404810405297, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}"
What southern U.S. state is know for having many swamps?,louisiana,"Louisiana is implausible because it's more famously known for its vibrant Mardi Gras festivities and distinctive Creole culture rather than its swamps, despite the presence of the Bayou.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}]",[],wetlands,"""Wetlands"" is not a state; it is a type of ecosystem or geographic feature, making it an implausible answer to the question asking for a specific southern U.S. state.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'Wetlands is not a state'}],"{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}"
What can a newspaper be used to do to an engagement?,announce,"The choice ""announce"" is implausible because newspapers are generally not used as a medium for personal announcements in today's digital age, where social media and online platforms are far more immediate and widely used for such purposes. Additionally, using a newspaper to announce an engagement could seem outdated and might not reach the intended audience effectively.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","[{'feedback': 'nice'}, {'feedback': ' The answer ""announce"" remains plausible, but it might be more accurate to note that newspapers are less commonly used for such purposes in modern times.'}]",inform,"A newspaper cannot effectively inform an engagement because the individuals involved in the engagement would likely already be aware of their own relationship status, and personal announcements like engagements are traditionally shared directly and personally, not learned first through media outlets.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 3.6, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 4}","{'mean': 2.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}"
"They wanted to recognize his accomplishment, where should they put his name?",certificate,"A certificate is typically a standard document for acknowledging individual accomplishments and achievements, making it a very plausible option for recognizing someone's name and thus not an implausible choice.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]",[],roster,"A roster is typically a list of names for participants or members, such as in sports teams or classes, and does not serve the purpose of formally recognizing an individual's achievements or accomplishments. Therefore, placing his name on a roster would not adequately honor or highlight his specific accomplishment.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'It would be possible to highlight an accomplishment next to his name on the roster too.'}],"{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}"
"When you fail to finish something, you failed at doing what to it",completing,"The choice ""completing"" is implausible because failing to finish something inherently means that you did not complete it; thus, you cannot fail at completing something if completing is the very action you did not achieve.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'nice'}, {'feedback': 'Yes, you can fail to complete something. '}, {'feedback': 'The answer ""completing"" is technically possible, but the explanation makes a valid point that the failure to finish something implies not completing it.'}]",do well,"The phrase ""do well"" implies achieving success or excelling, which is the opposite of failing to complete something. Therefore, failing to finish something cannot be equated with failing to ""do well"" at it.","[{'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]",[],"{'mean': 3.8, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","{'mean': 2.6, 'variance': 3.3000000000000003, 'std_dev': 1.8165902124584952, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}"
James loved to surf but he wasn't good at it. He would always do what?,wipe out,"The choice ""wipe out"" is implausible because if James consistently wiped out, he might become discouraged and give up surfing altogether, instead of continuing to love and pursue the activity despite his lack of skill.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'The explanation is reasonable but overlooks the possibility that someone could love the process of surfing and continue to try despite challenges like wipeouts.'}, {'feedback': ""James' lack of skill in surfing makes it likely that he would wipe out frequently.""}]",enjoy yourself,"The phrase ""enjoy yourself"" implies a level of satisfaction and contentment, which contradicts the notion of James not being good at surfing, as his lack of skill is likely to cause frustration rather than enjoyment. Therefore, it is implausible that James would consistently enjoy himself given his admitted lack of proficiency.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'I LIKE MUCH'}],"{'mean': 3.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 3}","{'mean': 2.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}"
If you're celebrating with too many cocktails what may you have in the morning?,hang over,"The choice ""hang over"" is implausible because ""hangover"" is the correct term for the unpleasant aftereffects of excessive alcohol consumption, whereas ""hang over"" suggests the act of leaning or hovering over something.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],have fun,"""Having fun"" does not accurately describe a consequence of overindulging in cocktails; it implies a positive experience, whereas the question is likely alluding to negative aftereffects, such as a hangover, which are far more typical after excessive drinking.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]",[{'feedback': 'I mean yeah it could just describe someones state of being whilst making the cocktails in the moment but I agree with the rest'}],"{'mean': 1.8, 'variance': 1.7000000000000002, 'std_dev': 1.3038404810405297, 'median': 1}","{'mean': 2.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.8, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 2}"
When someone is physically competing what does their body do?,sweat,"Sweating is a common physiological response during physical competition to regulate body temperature, making it a very plausible and typical reaction. Thus, suggesting that the body sweats during physical exertion is not an implausible choice, even though we are tasked with identifying implausibility.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]",[],perform better,"The answer choice ""perform better"" is implausible because not every individual or situation ensures optimal performance during physical competition; factors like fatigue, stress, or lack of preparation can lead to underperformance instead. Thus, the assumption that competition automatically results in improved bodily performance is overly simplistic and not universally applicable.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","[{'feedback': ""I agree everyones different to perform better some people need to take in account lot of different factors and some people just can't because of physical situations regarding themselves""}]","{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}"
How does a planet usually move around the sun?,orbit,"The choice ""orbit"" is implausible because it oversimplifies planetary motion, ignoring the gravitational influences of other celestial bodies that can alter a planet's path in subtle ways. Moreover, saying a planet simply ""orbits"" doesn't capture the complexity of elliptical orbits and variations over time due to precession and other factors.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]",[{'feedback': 'This question requires more scientific knowledge than an average survey participant has.'}],outerspace,"The term ""outerspace"" refers to the vast regions beyond Earth's atmosphere and doesn't describe any specific motion or path; thus, it doesn't explain how a planet moves around the sun. Instead, the movement is usually described by an orbital path or trajectory.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 3.6, 'variance': 2.3, 'std_dev': 1.51657508881031, 'median': 4}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 2}"
