context,question,gold_label,gold_label_con_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_con_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
Bailey was at his friends house one day when the house next door caught on fire.,What will happen to Others?,lose their home in the fire,"The house catching on fire does not guarantee that the damage will be severe enough to destroy the entire home, making it unlikely for others to lose their home. Additionally, prompt response from fire services could prevent the fire from spreading and causing total loss.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]",[],set someone else's house on fire,"The choice for others to ""set someone else's house on fire"" is implausible because it suggests a deliberate and malicious act rather than a consequence of the accidental fire next door. In a crisis situation like a house fire, people's natural response is usually to help or to seek safety, not to commit arson.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 2.6, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 3}","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}"
"After years of bullying in high school, Sasha graduated at the top of her class and got a great job. Sasha got revenge on the people.",How would you describe Sasha?,a competent person,"Describing Sasha as ""a competent person"" is implausible in this context because the term ""competent"" lacks the emotional depth and context needed to encapsulate her journey from being bullied to achieving great success, overshadowing the theme of resilience and perseverance central to her story. This term fails to acknowledge the extent of her achievements and undermines the narrative of overcoming adversity.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]",[],bad for bullying her,"Describing Sasha as ""bad for bullying her"" is implausible because Sasha is the victim of bullying, not the perpetrator. Her accomplishment and success despite being bullied showcase resilience and determination rather than any negative behavior such as bullying.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""It doesn't describe how she got revenge on them. Perhaps she bullied them later in life.""}]","{'mean': 2.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 2}","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.2, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 1}"
Skylar knew they were nervous and he wanted to ease their minds.,What does Skylar need to do before this?,put together a strong presentation detailing his ideas on how to proceed,"This choice is implausible because putting together a strong presentation would likely heighten anxiety rather than ease their minds, as they might feel pressured by the formality and feel less engaged in an open, supportive conversation. Furthermore, preparing a detailed presentation implies a longer-term strategy, whereas addressing nervousness usually requires immediate, interpersonal reassurance.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'Expalnation says implausible but i think the highlighted answer indicates a huge possibility'}, {'feedback': 'we don\'t know what, exactly, ""strong presentation"" means. AI is assuming this ""strong presentation"" was ""detailed"" — which, while likely, is not necessarily what happened.'}]",insult their worries,"Insulting their worries would likely increase their anxiety and make them feel invalidated, which is the opposite of easing their minds. To help calm them, Skylar should opt for supportive and reassuring actions instead.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'It is not possible for Skylar to insult their worries since all he wants is to ease their minds and not to increase their anxiety.'}],"{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}"
Jordan's smoking had negative affects on the health of the children.,What will Others want to do next?,take the children to the doctor,"Taking the children to the doctor could address immediate health concerns, but it does not solve the root cause of Jordan's smoking, which is a more direct action others might consider. The question implies looking for preventive or corrective measures, rather than a reactive medical check-up.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': ""i agree with the explanation, as taking the kids to the doctor wouldn't necessarily stop Jordan from smoking again""}, {'feedback': ""AI doesn't know *what* this question implies. :-).""}]",Smoke with Jordan,It is implausible that others would want to smoke with Jordan as they are aware of the negative health effects his smoking has on children. Encouraging or participating in smoking could exacerbate the situation rather than mitigate the harmful impact on children's health.,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 2}","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
Tracy understood Casey's stance better after they had a long conversation together.,What does Tracy need to do before this?,ask Casey to talk,"The choice ""ask Casey to talk"" is implausible because it presupposes that Tracy would need explicit permission or an invitation to engage in a conversation with Casey, which isn’t necessarily true as conversations often occur naturally without formal requests. Additionally, the context implies that a conversation has already taken place, suggesting that initiation was not an issue.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]",[],listen to Tom,"The implausibility of the choice lies in the fact that listening to Tom is unrelated to understanding Casey's stance, as it was Tracy's conversation with Casey that facilitated understanding, not any interaction with a third party like Tom. Prioritize direct communication with the primary individual involved to comprehend their viewpoint more effectively.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'Tom is not related in this instance, but he could be a party to the disagreement.'}]","{'mean': 2.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}","{'mean': 2.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}"
Bailey asked Alex to send them the pdf for the school project but Alex never did.,What will happen to Bailey?,blame Alex,"Blaming Alex is implausible because Bailey might decide to take responsibility for not following up on the request or find an alternative solution without assigning blame. Additionally, it might not solve the immediate issue of needing the pdf for the project.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'it is plausible for bailey to blame alex; but, i do not know bailey enough to confidently answer whether that\'s a course of action bailey wishes to undertake. blaming alex is plausible, but it is unknown if that\'s what bailey will do. so.. ..maybe i should downgrade my choice from ""plausible"" to ""technically possible,"" in commemoration of such.'}]",have to start over,"Bailey will not necessarily have to start over because they can try to contact Alex again or seek the pdf from other classmates. Starting over is implausible given the possibility of alternative solutions, like accessing other resources or previous work.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'Given that there are other options to explore, starting all over again is highly unlikely'}, {'feedback': ""It's impossible to Bailey to start over given the other options she has.""}]","{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}"
Carson's friend wanted something sweet to drink. Carson gave their friend some milk.,What will happen to Carson?,talk to the friend,"This choice is implausible because Carson has already addressed the friend's desire for a sweet drink by giving milk, making further conversation unnecessary. Additionally, not all acts of giving need to be followed by a discussion, especially in such a straightforward scenario.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'Conversations are usually multi-step.'}],ask for milk,"It is implausible for Carson to ask for milk because Carson is the one providing the milk to their friend, indicating that they likely already had access to it and do not need to ask for more.","[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","[{'feedback': ""They had the milk so it wouldn't make sense for them to ask for it, but they could. It'd be weird, but they could.""}]","{'mean': 2.8, 'variance': 3.2, 'std_dev': 1.7888543819998317, 'median': 3}","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2.6, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 2}"
Riley told Lee to stay at work a little later that night.,What will happen to Lee?,he will make money,"Given the context, staying at work later does not inherently guarantee that Lee will make more money, as the extra time could be unpaid overtime or involve tasks that do not contribute directly to Lee's income. Additionally, Riley's request for Lee to stay might be related to an unexpected event or issue that needs attention, rather than an opportunity for financial gain.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'i think the AI and I both agree with this one, too'}]",he will quit,"It is unlikely that Lee will quit simply because he was asked to stay late one night, as most employees understand that occasional overtime is part of workplace expectations and quitting over a single event would be an overreaction. Additionally, quitting immediately would jeopardize Lee's financial stability and employment reputation without pursuing any conflict resolution or discussion first.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 2}"
Sasha spent Austin's money trying to win a prize even when the odds were stacked against her.,What will Austin want to do next?,yell at Sasha for doing that,"It's implausible that Austin would want to simply yell at Sasha, as doing so would not address the loss of his money or lead to any meaningful resolution; he would more likely focus on discussing the situation calmly to prevent it from happening again.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'Possible, but not probable.'}]",pull out more money,"Austin is unlikely to want to pull out more money since Sasha's previous gambling attempt already resulted in a loss, highlighting the futility of risking more of his finances. Continuing to spend money in a situation with poor odds would be irrational and contrary to a logical response to diminished returns.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""They likely wouldn't want to, but it is possible because Austin could have the mindset of Sasha trying to get it back for him.""}]","{'mean': 2.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 3.8, 'variance': 3.1999999999999997, 'std_dev': 1.7888543819998317, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]","{'mean': 2.4, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 2}"
Robin built a snowman in the snow and gave it a new name.,What will Robin want to do next?,put a carrot in the nose,"Robin already gave the snowman a new name, suggesting that the creative process may be complete, and putting a carrot in the nose is typically an earlier step in snowman construction. Therefore, it is implausible that adding a carrot would follow after naming the snowman, as it seems chronological steps are being reversed.","[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","[{'feedback': 'Building a snowman usually ends with putting on various accessories such as rocks for buttons, a carrot for a nose, and a hat.  The name usually comes after the snowman as a whole is built.'}]",destroy it,"Destroying the snowman immediately after building and naming it seems implausible, as Robin likely feels a sense of accomplishment and attachment to the creation, making them more inclined to enjoy it rather than destroy it. Naming signifies a level of emotional investment, suggesting that Robin's likely next actions would involve interacting with or showing the snowman to others, not demolishing it.","[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 2.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 2}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 4}","[{'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}"
