question,gold_label,gold_label_pro_rationale,gold_label_con_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_pro_rationale,distractor_con_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
"When a human is earning money, where are they often found?",place of work,"The most common location where a person earns money is their place of work, as it is specifically designated for them to perform tasks and activities in exchange for compensation. Additionally, workplaces are equipped with the necessary resources and environment to facilitate the performance of job duties that result in earning income.","The choice ""place of work"" is implausible because in the current gig economy, humans can earn money from virtually anywhere, including from home, a cafe, or while traveling, rendering the traditional notion of a fixed workplace obsolete.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]",[{'feedback': 'BETTER'}],school,"School is a plausible answer because many individuals, such as teachers, administrators, and support staff, earn their salaries by working in educational institutions. Additionally, students may also earn money through work-study programs or part-time jobs on campus.","Schools are primarily places for learning and educating, not earning money, so it's implausible for someone to be commonly found there for the purpose of earning a living.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'The explanation against ""school"" being a valid answer overlooks the fact that schools employ a large workforce. '}]","{'mean': 3.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
What was the man encouraged to do after he expressed his anger violently?,cool off,"Encouraging the man to ""cool off"" is plausible because it suggests a non-confrontational approach, allowing him time and space to calm down and regain control over his emotions. This response is often recommended as a first step in de-escalating potentially volatile situations and preventing further outbursts.","Cooling off is an implausible action immediately after expressing anger violently, as the adrenaline and heightened emotional state would require more structured intervention or calming techniques rather than a casual suggestion to ""cool off.""","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'When you see the word ""encouraged"" that\'s where it becomes very likely that cooling off is the most logical answer'}]",fight,"The man was encouraged to ""fight"" as it may have been considered a way to channel his anger into a more structured and potentially therapeutic setting, such as boxing or martial arts, where he could learn to manage his emotions and energy constructively. Engaging in a controlled fighting environment could also serve as a form of physical release and personal development.","It is implausible that the man was encouraged to fight after expressing his anger violently, as typically, society and authority figures promote conflict resolution and non-violent behaviors rather than escalating aggression through fighting.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}"
What southern U.S. state is know for having many swamps?,louisiana,"Louisiana is known for its vast wetlands and bayous, particularly the expansive Atchafalaya Basin and parts of the Mississippi Delta, which are characteristic of swampy environments. The state's geography and climate make it an ideal location for the formation of swamps, contributing to its reputation as a state with many swamps.","Louisiana is implausible because it's more famously known for its vibrant Mardi Gras festivities and distinctive Creole culture rather than its swamps, despite the presence of the Bayou.","[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","[{'feedback': 'NICE'}, {'feedback': ""plausible only because it's not the only one. Could also be Florida.""}]",wetlands,"The choice ""wetlands"" is plausible because it refers to areas that are permanently or seasonally saturated with water, which often include swamps, thus suggesting that any southern U.S. state with significant wetlands could be known for its swamps. By naming the general characteristic, one can infer that states like Louisiana or Florida, known for their extensive wetlands, would fit this description.","""Wetlands"" is not a state; it is a type of ecosystem or geographic feature, making it an implausible answer to the question asking for a specific southern U.S. state.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'The answer ""wetlands"" does not satisfy the question, as it refers to a type of ecosystem rather than a southern U.S. state. '}]","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}","{'mean': 1.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}"
What can a newspaper be used to do to an engagement?,announce,"A newspaper can be used to announce an engagement by publishing a formal announcement that shares the news with the community, often including details about the couple and their upcoming plans. This traditional method allows for broad public reach and celebration of the engagement.","The choice ""announce"" is implausible because newspapers are generally not used as a medium for personal announcements in today's digital age, where social media and online platforms are far more immediate and widely used for such purposes. Additionally, using a newspaper to announce an engagement could seem outdated and might not reach the intended audience effectively.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","[{'feedback': ""Probably not what that's used for as much these days""}, {'feedback': ""While it's not the most common medium anymore, the only likely reason to engage in a newspaper for an engagement is to announce it.""}]",inform,"A newspaper can be used to inform about an engagement by announcing the news publicly, providing details such as the couple's names, the event date, and background stories, thereby keeping the community updated. This serves as an official form of communication to share the joyous news with a wider audience.","A newspaper cannot effectively inform an engagement because the individuals involved in the engagement would likely already be aware of their own relationship status, and personal announcements like engagements are traditionally shared directly and personally, not learned first through media outlets.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}"
"They wanted to recognize his accomplishment, where should they put his name?",certificate,"A certificate is a formal document that is often used to recognize and commemorate an individual’s accomplishments, making it an ideal place to put his name to acknowledge his achievement officially. Additionally, certificates are tangible items that can be framed or displayed, serving as a lasting testament to his accomplishment.","A certificate is typically a standard document for acknowledging individual accomplishments and achievements, making it a very plausible option for recognizing someone's name and thus not an implausible choice.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': 'The reasoning is solid and coherent.'}, {'feedback': 'BETTER'}, {'feedback': 'Likely, because that would be the most common way. Another way could be a plaque.'}]",roster,"A roster is an official list or register, often used to track participants or members of a group, so placing his name on a roster would publicly acknowledge and recognize his inclusion and contribution among distinguished individuals in that group.","A roster is typically a list of names for participants or members, such as in sports teams or classes, and does not serve the purpose of formally recognizing an individual's achievements or accomplishments. Therefore, placing his name on a roster would not adequately honor or highlight his specific accomplishment.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'technically possible in niche cases, roster is not a strong or natural answer to the question.'}]","{'mean': 4.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","{'mean': 2.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}"
"When you fail to finish something, you failed at doing what to it",completing,"The term ""completing"" refers to bringing a task or project to its conclusion, so if you fail to finish something, it means you have not achieved the state of ""completing"" it. Thus, the failure to complete indicates an unfinished or incomplete status, making ""completing"" a plausible choice.","The choice ""completing"" is implausible because failing to finish something inherently means that you did not complete it; thus, you cannot fail at completing something if completing is the very action you did not achieve.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]",[],do well,"The choice ""do well"" is plausible because when you fail to finish something, it implies that you didn't manage or execute the task effectively, which translates to not doing it well. Additionally, not doing well in maintaining progress or managing obstacles can lead to the failure of completing the task.","The phrase ""do well"" implies achieving success or excelling, which is the opposite of failing to complete something. Therefore, failing to finish something cannot be equated with failing to ""do well"" at it.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'per explanation 1'}],"{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","{'mean': 3.2, 'variance': 2.2, 'std_dev': 1.4832396974191326, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}"
James loved to surf but he wasn't good at it. He would always do what?,wipe out,"James not being good at surfing likely means he struggled to maintain balance or perfect techniques, leading him to frequently wipe out. Wiping out is a common occurrence for surfers who aren't adept, as it involves failing to stay on the board and falling into the water.","The choice ""wipe out"" is implausible because if James consistently wiped out, he might become discouraged and give up surfing altogether, instead of continuing to love and pursue the activity despite his lack of skill.","[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'This is the term that is used when surfers fall into the water.'}, {'feedback': ' Explanation 2 is flawed because it assumes everyone quits after repeated failure. '}]",enjoy yourself,"Even though James wasn't skilled at surfing, his passion and love for it ensured that he focused more on the experience and thrill of being in the water, allowing him to enjoy himself regardless of his performance. This positive attitude highlights that enjoyment does not solely depend on skill level, but on the enthusiasm and engagement in the activity.","The phrase ""enjoy yourself"" implies a level of satisfaction and contentment, which contradicts the notion of James not being good at surfing, as his lack of skill is likely to cause frustration rather than enjoyment. Therefore, it is implausible that James would consistently enjoy himself given his admitted lack of proficiency.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 2.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}"
If you're celebrating with too many cocktails what may you have in the morning?,hang over,"Consuming too many cocktails can lead to dehydration and an imbalance of electrolytes, which are common causes of a hangover in the morning. Additionally, the body's metabolism of alcohol can lead to the production of byproducts that contribute to the symptoms associated with hangovers.","The choice ""hang over"" is implausible because ""hangover"" is the correct term for the unpleasant aftereffects of excessive alcohol consumption, whereas ""hang over"" suggests the act of leaning or hovering over something.","[{'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'The difference/explanation in the one versus two words for a slang term seems irrelevant to me but may be for upmost accuracy.'}],have fun,"Having too many cocktails while celebrating can sometimes have an intense and memorable experience, making the night filled with laughter and enjoyment, which translates into the memory of having fun, even if you wake up the next morning with a hangover.","""Having fun"" does not accurately describe a consequence of overindulging in cocktails; it implies a positive experience, whereas the question is likely alluding to negative aftereffects, such as a hangover, which are far more typical after excessive drinking.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 3.4, 'variance': 3.3000000000000003, 'std_dev': 1.8165902124584952, 'median': 4}","{'mean': 2.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.8, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 2}"
When someone is physically competing what does their body do?,sweat,Sweating is a natural physiological response during physical exertion as it helps regulate body temperature by releasing heat through the evaporation of moisture from the skin. This process is crucial for maintaining optimal performance and preventing overheating during intense physical activities.,"Sweating is a common physiological response during physical competition to regulate body temperature, making it a very plausible and typical reaction. Thus, suggesting that the body sweats during physical exertion is not an implausible choice, even though we are tasked with identifying implausibility.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[],perform better,"During physical competition, the body releases adrenaline which can enhance performance by increasing heart rate, blood flow, and energy availability, resulting in improved physical capabilities. This physiological response is designed to enhance an individual's ability to perform under the stress of competition.","The answer choice ""perform better"" is implausible because not every individual or situation ensures optimal performance during physical competition; factors like fatigue, stress, or lack of preparation can lead to underperformance instead. Thus, the assumption that competition automatically results in improved bodily performance is overly simplistic and not universally applicable.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 4.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 2.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}"
How does a planet usually move around the sun?,orbit,"The choice ""orbit"" is plausible because planets move around the sun in a consistent, elliptical path due to the gravitational pull between the sun and the planets, which is commonly referred to as an orbit. This term describes the typical trajectory that celestial bodies take when revolving around a massive body like the sun.","The choice ""orbit"" is implausible because it oversimplifies planetary motion, ignoring the gravitational influences of other celestial bodies that can alter a planet's path in subtle ways. Moreover, saying a planet simply ""orbits"" doesn't capture the complexity of elliptical orbits and variations over time due to precession and other factors.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],outerspace,"The term ""outerspace"" refers to the vast region beyond Earth's atmosphere where planetary bodies, including planets, reside and move. Thus, a planet moving around the sun does so within the realm of outerspace, making it a plausible context to describe its motion.","The term ""outerspace"" refers to the vast regions beyond Earth's atmosphere and doesn't describe any specific motion or path; thus, it doesn't explain how a planet moves around the sun. Instead, the movement is usually described by an orbital path or trajectory.","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","{'mean': 1.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 2}"
