question,gold_label,gold_label_pro_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_pro_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
"When a human is earning money, where are they often found?",place of work,"The most common location where a person earns money is their place of work, as it is specifically designated for them to perform tasks and activities in exchange for compensation. Additionally, workplaces are equipped with the necessary resources and environment to facilitate the performance of job duties that result in earning income.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","[{'feedback': 'nice'}, {'feedback': 'Traditional places of work are sources of earning money for humans. However, today, there are lots of opportunities such as service industries, outdoor jobs and freelancing that help people earn money.'}]",school,"School is a plausible answer because many individuals, such as teachers, administrators, and support staff, earn their salaries by working in educational institutions. Additionally, students may also earn money through work-study programs or part-time jobs on campus.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]",[{'feedback': 'It seems plausible from the explanation...'}],"{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
What was the man encouraged to do after he expressed his anger violently?,cool off,"Encouraging the man to ""cool off"" is plausible because it suggests a non-confrontational approach, allowing him time and space to calm down and regain control over his emotions. This response is often recommended as a first step in de-escalating potentially volatile situations and preventing further outbursts.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[],fight,"The man was encouraged to ""fight"" as it may have been considered a way to channel his anger into a more structured and potentially therapeutic setting, such as boxing or martial arts, where he could learn to manage his emotions and energy constructively. Engaging in a controlled fighting environment could also serve as a form of physical release and personal development.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]",[],"{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}"
What southern U.S. state is know for having many swamps?,louisiana,"Louisiana is known for its vast wetlands and bayous, particularly the expansive Atchafalaya Basin and parts of the Mississippi Delta, which are characteristic of swampy environments. The state's geography and climate make it an ideal location for the formation of swamps, contributing to its reputation as a state with many swamps.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'nice'}],wetlands,"The choice ""wetlands"" is plausible because it refers to areas that are permanently or seasonally saturated with water, which often include swamps, thus suggesting that any southern U.S. state with significant wetlands could be known for its swamps. By naming the general characteristic, one can infer that states like Louisiana or Florida, known for their extensive wetlands, would fit this description.","[{'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'Yes wetlands seems likely '}],"{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 2.8, 'variance': 3.2, 'std_dev': 1.7888543819998317, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}"
What can a newspaper be used to do to an engagement?,announce,"A newspaper can be used to announce an engagement by publishing a formal announcement that shares the news with the community, often including details about the couple and their upcoming plans. This traditional method allows for broad public reach and celebration of the engagement.","[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'The word ""engagement"" could also mean a conflict like a war, which a newspaper is likely to report about. '}]",inform,"A newspaper can be used to inform about an engagement by announcing the news publicly, providing details such as the couple's names, the event date, and background stories, thereby keeping the community updated. This serves as an official form of communication to share the joyous news with a wider audience.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],"{'mean': 3.8, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","{'mean': 4.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}"
"They wanted to recognize his accomplishment, where should they put his name?",certificate,"A certificate is a formal document that is often used to recognize and commemorate an individual’s accomplishments, making it an ideal place to put his name to acknowledge his achievement officially. Additionally, certificates are tangible items that can be framed or displayed, serving as a lasting testament to his accomplishment.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","[{'feedback': 'nice'}, {'feedback': ""A certificate is effective in acknowledging people's accomplishments""}]",roster,"A roster is an official list or register, often used to track participants or members of a group, so placing his name on a roster would publicly acknowledge and recognize his inclusion and contribution among distinguished individuals in that group.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]",[{'feedback': 'It seems likely that placing his name on the roster would be helpful...'}],"{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 3.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}"
"When you fail to finish something, you failed at doing what to it",completing,"The term ""completing"" refers to bringing a task or project to its conclusion, so if you fail to finish something, it means you have not achieved the state of ""completing"" it. Thus, the failure to complete indicates an unfinished or incomplete status, making ""completing"" a plausible choice.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],do well,"The choice ""do well"" is plausible because when you fail to finish something, it implies that you didn't manage or execute the task effectively, which translates to not doing it well. Additionally, not doing well in maintaining progress or managing obstacles can lead to the failure of completing the task.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[],"{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}"
James loved to surf but he wasn't good at it. He would always do what?,wipe out,"James not being good at surfing likely means he struggled to maintain balance or perfect techniques, leading him to frequently wipe out. Wiping out is a common occurrence for surfers who aren't adept, as it involves failing to stay on the board and falling into the water.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'Accurate description of what would happen. Depending on how bad he is, though, he may never ever get up on his board to wipe out in the first place. '}]",enjoy yourself,"Even though James wasn't skilled at surfing, his passion and love for it ensured that he focused more on the experience and thrill of being in the water, allowing him to enjoy himself regardless of his performance. This positive attitude highlights that enjoyment does not solely depend on skill level, but on the enthusiasm and engagement in the activity.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'I LIKE'}],"{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","{'mean': 3.8, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}"
If you're celebrating with too many cocktails what may you have in the morning?,hang over,"Consuming too many cocktails can lead to dehydration and an imbalance of electrolytes, which are common causes of a hangover in the morning. Additionally, the body's metabolism of alcohol can lead to the production of byproducts that contribute to the symptoms associated with hangovers.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],have fun,"Having too many cocktails while celebrating can sometimes have an intense and memorable experience, making the night filled with laughter and enjoyment, which translates into the memory of having fun, even if you wake up the next morning with a hangover.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'Technically possible but I would have said a hangover'}, {'feedback': 'can sometimes have an intense night filled with laughter- so it is plausible'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","{'mean': 2.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.8, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 2}"
When someone is physically competing what does their body do?,sweat,Sweating is a natural physiological response during physical exertion as it helps regulate body temperature by releasing heat through the evaporation of moisture from the skin. This process is crucial for maintaining optimal performance and preventing overheating during intense physical activities.,"[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': ""This depends on the level of physical competition. If only brief/light, it's possible the person will not sweat but they likely will.""}]",perform better,"During physical competition, the body releases adrenaline which can enhance performance by increasing heart rate, blood flow, and energy availability, resulting in improved physical capabilities. This physiological response is designed to enhance an individual's ability to perform under the stress of competition.","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]",[],"{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}"
How does a planet usually move around the sun?,orbit,"The choice ""orbit"" is plausible because planets move around the sun in a consistent, elliptical path due to the gravitational pull between the sun and the planets, which is commonly referred to as an orbit. This term describes the typical trajectory that celestial bodies take when revolving around a massive body like the sun.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],outerspace,"The term ""outerspace"" refers to the vast region beyond Earth's atmosphere where planetary bodies, including planets, reside and move. Thus, a planet moving around the sun does so within the realm of outerspace, making it a plausible context to describe its motion.","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'Kinda an abstraction, no?'}, {'feedback': 'its plausible according to the explanation-so its technically possible'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 2}"
