context,question,gold_label,gold_label_pro_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_pro_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
Bailey was at his friends house one day when the house next door caught on fire.,What will happen to Others?,lose their home in the fire,"The neighboring house catching fire poses a significant risk of spreading, which could easily engulf other homes in the vicinity if not controlled promptly, leading to others potentially losing their homes in the fire. This scenario is plausible, especially in densely populated areas where houses are close together and structural fires can rapidly escalate.","[{'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'good information in the survey'}, {'feedback': 'loosing their home to the fire only in a case when no efforts were undertaken to put out the fire'}]",set someone else's house on fire,"The chaos and panic caused by a fire in the neighborhood might inadvertently lead someone to mistakenly take drastic action to ""prevent"" another house from catching fire, such as setting a controlled fire that spirals out of control. Additionally, with emergency vehicles and focus drawn to one fire, a mischievous or malicious actor might exploit the situation to set another person's house on fire, believing they have a reduced chance of getting caught.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'There is enough first responders available.'}, {'feedback': ""Neither the sentence nor the explanation makes grammatical sense, let alone actual sense. I suppose it's technically possible, but not at all likely.""}]","{'mean': 3.4, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 3}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}"
"After years of bullying in high school, Sasha graduated at the top of her class and got a great job. Sasha got revenge on the people.",How would you describe Sasha?,a competent person,"Sasha's ability to overcome bullying, excel academically, and secure a great job demonstrates her competence in navigating challenges and achieving success despite adversity. Her accomplishments suggest she possesses the skills and determination characteristic of a highly competent individual.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]",[],bad for bullying her,"Describing Sasha as ""bad for bullying her"" could be seen as plausible if interpreted abstractly, suggesting that she manipulated the negative energy of bullying into motivation and success, effectively turning the tables and proving her detractors wrong. By achieving success despite the obstacles, one could argue that she transformed the negativity directed at her into a tool for self-empowerment and self-betterment.","[{'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'This is confusing - how would ""bad for bullying her"" be a descriptor for Sasha? Instead, I would describe her as strong, capable, and intelligent.'}]","{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","{'mean': 2.4, 'variance': 2.8, 'std_dev': 1.6733200530681511, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.2, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 1}"
Skylar knew they were nervous and he wanted to ease their minds.,What does Skylar need to do before this?,put together a strong presentation detailing his ideas on how to proceed,"Skylar can best ease their minds by putting together a strong presentation detailing his ideas on how to proceed, as it will demonstrate preparedness and provide a clear path forward that can help alleviate their concerns. By having a well-prepared presentation, Skylar can address any uncertainties and instill confidence in the plan, thus calming their nerves.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'possible, but this is very specific and just one possiblity. Skylar could also exercise or take medication to ease their mind'}]",insult their worries,"Skylar might use reverse psychology by initially insulting their worries, thus trivializing them and making the individuals realize their concerns are perhaps not as serious as they perceive, which can lead to a more relaxed mindset. By addressing their concerns in this manner, it could open up an opportunity for humor and perspective, helping to ease their anxiety.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]",[{'feedback': 'Using reverse psychology seems like quite the logical leap as an explanation.'}],"{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}"
Jordan's smoking had negative affects on the health of the children.,What will Others want to do next?,take the children to the doctor,"Taking the children to the doctor is a logical step because medical professionals can assess the impact of Jordan's smoking on the children's health and provide necessary treatment or recommendations for mitigating any adverse effects they might be experiencing. Additionally, a doctor's visit can offer guidance on preventative measures to protect the children from further harm caused by exposure to smoke.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]",[{'feedback': 'Or Jordan could just quit smoking'}],Smoke with Jordan,"Others might choose to smoke with Jordan as a way of social bonding or peer pressure, despite the negative health impacts, particularly if they perceive smoking as a means of fitting in or being accepted within their social circle.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 2.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
Tracy understood Casey's stance better after they had a long conversation together.,What does Tracy need to do before this?,ask Casey to talk,"Before having a long conversation, it would be logical for Tracy to initiate the dialogue by asking Casey to talk, as this sets the stage for a deeper understanding and exchange of perspectives between the two individuals. This step is crucial in opening the lines of communication that led to Tracy's improved understanding of Casey's stance.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[],listen to Tom,"Before the conversation with Casey, Tracy might need to listen to Tom to gather different perspectives or information that Tom may offer, which could help Tracy better understand Casey’s stance during their discussion. This preparatory step might give Tracy valuable context or background that enhances the subsequent conversation with Casey.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]",[],"{'mean': 4.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}","{'mean': 3.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 4}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}"
Bailey asked Alex to send them the pdf for the school project but Alex never did.,What will happen to Bailey?,blame Alex,"Given that Alex never sent the pdf for the school project as requested, it is plausible that Bailey might blame Alex for any negative outcomes, such as being unable to complete the project on time, due to Alex's failure to fulfill the request. This blame could arise from the responsibility placed on Alex to provide the necessary materials for team success.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[{'feedback': 'I think it is likely Bailey will blame Alex to save herself.'}],have to start over,"Bailey might have to start over because without the needed PDF from Alex, they may not have all the necessary information or materials to complete their part of the school project. Without this crucial document, Bailey might need to re-gather resources or information to meet the project's requirements.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 4.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}"
Carson's friend wanted something sweet to drink. Carson gave their friend some milk.,What will happen to Carson?,talk to the friend,Carson might talk to the friend to ask if the milk met their expectations or if they would prefer a different sweet drink option. This conversation could help ensure that the friend's taste preferences are satisfied.,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[],ask for milk,"It is plausible that Carson will ask for milk because after giving milk to their friend, Carson might realize they also want some for themselves. Additionally, Carson might be checking if their friend is satisfied with the milk and if they want more, by asking for more milk as a gesture of ensuring their friend has enough.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2.6, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 2}"
Riley told Lee to stay at work a little later that night.,What will happen to Lee?,he will make money,"If Riley asked Lee to stay at work later, it's likely that Lee is working overtime, which often comes with additional pay, leading to the plausible outcome that Lee will make extra money.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[{'feedback': 'This would not apply is Lee is salaried. '}],he will quit,"Riley's request for Lee to stay late could be the final straw in an ongoing pattern of excessive demands, leading Lee to decide to quit in order to find a more balanced work environment. Additionally, Lee might value personal commitments more and interpret the request as an indication of a misaligned work-life balance, prompting him to quit.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'Technically possible, but quitting from being asked to stay a little later at work seems like an overreaction and not realistic.'}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 3}","{'mean': 2.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 2}"
Sasha spent Austin's money trying to win a prize even when the odds were stacked against her.,What will Austin want to do next?,yell at Sasha for doing that,"It is plausible that Austin would want to yell at Sasha because spending someone else's money, especially when the odds are not in her favor, could be seen as reckless and inconsiderate, prompting an immediate emotional response like anger. Yelling could be Austin's way of expressing frustration and disappointment over the perceived misuse of his resources.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]",[],pull out more money,"Given that Sasha has already spent Austin's money gambling for a prize, Austin might want to pull out more money to continue the attempt, driven by sunk cost fallacy or hoping for a change in luck that could recoup the losses. Additionally, Austin may trust Sasha's judgment and believe that success is still possible with further financial investment.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""If Sasha had spent Austin's money already, it is more likely they will choose to cut Sasha off at that point, rather than sink more money into a fruitless endeavor.""}]","{'mean': 3.8, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","{'mean': 2.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 3.8, 'variance': 3.1999999999999997, 'std_dev': 1.7888543819998317, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]","{'mean': 2.4, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 2}"
Robin built a snowman in the snow and gave it a new name.,What will Robin want to do next?,put a carrot in the nose,"Robin has already built a snowman and given it a name, so the next logical step to further personalize and complete the snowman's features would be to add a traditional element like a carrot for the nose. This action aligns with the common practice of decorating snowmen and enhances the snowman's character and appearance.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}]",[],destroy it,"After creating and naming a snowman, Robin might feel a sense of accomplishment or completion, which could lead him to destroy it for fun or to start fresh and make a new one. Additionally, Robin might want to see how the snowman reacts when destroyed, creating an opportunity for imaginative play.","[{'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]",[{'feedback': 'nice'}],"{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}","{'mean': 2.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 4}","[{'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}"
